,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
9,fl,smoothed_wearing_mask,2020-12-22,2020-12-27,5,89.9238445,0.2408102,15625.0004,state,fb-survey
10,ga,smoothed_wearing_mask,2020-12-22,2020-12-27,5,86.9026101,0.4574591,5438.9251,state,fb-survey
11,hi,smoothed_wearing_mask,2020-12-22,2020-12-27,5,94.5165094,0.7822412,847.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-12-22,2020-12-27,5,89.4764327,0.5251546,3414.2649,state,fb-survey
13,id,smoothed_wearing_mask,2020-12-22,2020-12-27,5,83.1106736,0.8670744,1867.052,state,fb-survey
14,il,smoothed_wearing_mask,2020-12-22,2020-12-27,5,93.9994177,0.2396272,9823.0465,state,fb-survey
15,in,smoothed_wearing_mask,2020-12-22,2020-12-27,5,92.0844672,0.3502113,5943.008,state,fb-survey
16,ks,smoothed_wearing_mask,2020-12-22,2020-12-27,5,90.7037421,0.5424058,2866.0558,state,fb-survey
17,ky,smoothed_wearing_mask,2020-12-22,2020-12-27,5,92.1909195,0.4304514,3885.4371,state,fb-survey
18,la,smoothed_wearing_mask,2020-12-22,2020-12-27,5,87.8095347,0.5467235,3581.1832,state,fb-survey
19,ma,smoothed_wearing_mask,2020-12-22,2020-12-27,5,97.1715394,0.2360895,4931.0115,state,fb-survey
20,md,smoothed_wearing_mask,2020-12-22,2020-12-27,5,97.084503,0.2696779,3891.9898,state,fb-survey
21,me,smoothed_wearing_mask,2020-12-22,2020-12-27,5,95.1780415,0.4765374,2021.0,state,fb-survey
22,mi,smoothed_wearing_mask,2020-12-22,2020-12-27,5,93.5383681,0.2404614,10453.0093,state,fb-survey
23,mn,smoothed_wearing_mask,2020-12-22,2020-12-27,5,93.6486011,0.371716,4304.7522,state,fb-survey
24,mo,smoothed_wearing_mask,2020-12-22,2020-12-27,5,87.9735747,0.4650522,4891.9876,state,fb-survey
25,ms,smoothed_wearing_mask,2020-12-22,2020-12-27,5,88.5872749,0.6401496,2467.1625,state,fb-survey
26,mt,smoothed_wearing_mask,2020-12-22,2020-12-27,5,87.9302887,0.8945425,1326.2745,state,fb-survey
27,nc,smoothed_wearing_mask,2020-12-22,2020-12-27,5,92.8571329,0.2726238,8924.0128,state,fb-survey
28,nd,smoothed_wearing_mask,2020-12-22,2020-12-27,5,85.672691,1.3201138,704.3432,state,fb-survey
29,ne,smoothed_wearing_mask,2020-12-22,2020-12-27,5,89.8963445,0.6980992,1863.7439,state,fb-survey
30,nh,smoothed_wearing_mask,2020-12-22,2020-12-27,5,94.5658424,0.5437614,1738.0,state,fb-survey
31,nj,smoothed_wearing_mask,2020-12-22,2020-12-27,5,96.6163393,0.2409923,5628.9971,state,fb-survey
32,nm,smoothed_wearing_mask,2020-12-22,2020-12-27,5,95.8917119,0.4484206,1959.1644,state,fb-survey
33,nv,smoothed_wearing_mask,2020-12-22,2020-12-27,5,93.2072902,0.5720407,1934.8136,state,fb-survey
34,ny,smoothed_wearing_mask,2020-12-22,2020-12-27,5,96.4741446,0.1678951,12067.002,state,fb-survey
35,oh,smoothed_wearing_mask,2020-12-22,2020-12-27,5,93.8744072,0.2312937,10748.9947,state,fb-survey
36,ok,smoothed_wearing_mask,2020-12-22,2020-12-27,5,86.6097156,0.5521514,3803.9961,state,fb-survey
37,or,smoothed_wearing_mask,2020-12-22,2020-12-27,5,93.9928331,0.3680142,4169.0323,state,fb-survey
38,pa,smoothed_wearing_mask,2020-12-22,2020-12-27,5,93.7845104,0.2242553,11591.0072,state,fb-survey
39,ri,smoothed_wearing_mask,2020-12-22,2020-12-27,5,97.7403596,0.4610534,1038.9885,state,fb-survey
40,sc,smoothed_wearing_mask,2020-12-22,2020-12-27,5,90.8018761,0.3970086,5299.0047,state,fb-survey
41,sd,smoothed_wearing_mask,2020-12-22,2020-12-27,5,85.0532593,1.1811151,911.2825,state,fb-survey
42,tn,smoothed_wearing_mask,2020-12-22,2020-12-27,5,89.2639777,0.394412,6160.5483,state,fb-survey
43,tx,smoothed_wearing_mask,2020-12-22,2020-12-27,5,92.2628437,0.2037528,17194.9562,state,fb-survey
44,ut,smoothed_wearing_mask,2020-12-22,2020-12-27,5,92.7469169,0.5022361,2666.8972,state,fb-survey
45,va,smoothed_wearing_mask,2020-12-22,2020-12-27,5,94.2983405,0.2746692,7126.6476,state,fb-survey
46,vt,smoothed_wearing_mask,2020-12-22,2020-12-27,5,94.8642315,0.7588721,846.0008,state,fb-survey
47,wa,smoothed_wearing_mask,2020-12-22,2020-12-27,5,95.6639825,0.2536936,6444.9611,state,fb-survey
48,wi,smoothed_wearing_mask,2020-12-22,2020-12-27,5,90.3730424,0.4039044,5332.9894,state,fb-survey
49,wv,smoothed_wearing_mask,2020-12-22,2020-12-27,5,92.8543787,0.5353474,2315.1065,state,fb-survey
